Time,Congestion Window
0.208,2000
0.416,3000
0.424,4000
0.624,5000
0.632,6000
0.64,7000
0.648,8000
0.832,9000
0.84,10000
0.848,11000
0.856,12000
0.864,13000
0.872,14000
0.88,15000
0.888,16000
1.04,17000
1.048,18000
1.056,19000
1.064,20000
1.072,21000
1.08,22000
1.088,23000
1.096,24000
1.104,25000
1.112,26000
1.12,27000
1.128,28000
1.136,29000
1.144,30000
1.152,31000
1.16,32000
1.248,33000
1.256,34000
1.264,35000
1.272,36000
1.28,37000
1.288,38000
1.296,39000
1.304,40000
1.312,41000
1.32,42000
1.328,43000
1.336,44000
1.344,45000
1.352,46000
1.36,47000
1.368,48000
1.376,49000
1.384,50000
1.392,51000
1.4,52000
1.408,53000
1.416,54000
1.424,55000
1.432,56000
1.44,57000
1.448,58000
1.456,59000
1.464,60000
1.472,61000
1.48,62000
1.488,63000
1.496,64000
1.504,65000
1.512,66000
1.52,67000
1.528,68000
1.536,69000
1.544,70000
1.552,71000
1.56,72000
1.568,73000
1.576,74000
1.584,75000
1.592,76000
1.6,77000
1.608,78000
1.616,79000
1.624,80000
1.632,81000
1.64,82000
1.648,83000
1.656,84000
1.664,85000
1.672,86000
1.68,87000
1.688,88000
1.696,89000
1.704,90000
1.712,91000
1.72,92000
1.728,93000
1.736,94000
1.744,95000
1.752,96000
1.76,97000
1.768,98000
1.776,99000
1.784,100000
1.792,101000
1.8,101000
1.8,101000
1.808,101000
1.808,101000
1.816,101000
1.816,101000
1.824,101000
1.824,101000
1.832,101000
1.832,101000
1.84,101000
1.84,101000
1.848,101000
1.848,101000
1.856,101000
1.856,101000
1.864,101000
1.864,101000
1.872,101000
1.872,101000
1.88,101000
1.88,101000
1.888,101000
1.888,101000
1.896,101000
1.896,101000
1.904,101000
1.904,101000
1.912,101000
1.912,101000
1.92,101000
1.92,101000
1.928,101000
1.928,101000
1.936,101000
1.936,101000
1.944,101000
1.944,101000
1.952,101000
1.952,101000
1.96,101000
1.96,101000
1.968,101000
1.968,101000
1.976,101000
1.976,101000
1.984,101000
1.984,101000
1.992,101000
1.992,101000
2.0,101000
2.0,101000
2.008,101000
2.008,101000
2.016,101000
2.016,101000
2.024,101000
2.024,101000
2.032,101000
2.032,101000
2.04,101000
2.04,101000
2.048,101000
2.048,101000
2.056,101000
2.056,101000
2.064,101000
2.064,101000
2.072,101000
2.072,101000
2.08,101000
2.08,101000
2.088,101000
2.088,101000
2.096,101000
2.096,101000
2.104,101000
2.104,101000
2.112,101000
2.112,101000
2.12,101000
2.12,101000
2.128,101000
2.128,101000
2.136,101000
2.136,101000
2.144,101000
2.144,101000
2.152,101000
2.152,101000
2.16,101000
2.16,101000
2.168,101000
2.168,101000
2.176,101000
2.176,101000
2.184,101000
2.184,101000
2.192,101000
2.192,101000
2.2,101000
2.2,101000
2.208,101000
2.208,101000
2.216,101000
2.216,101000
2.224,101000
2.224,101000
2.232,101000
2.232,101000
2.24,101000
2.24,101000
2.248,101000
2.248,101000
2.256,101000
2.256,101000
2.264,101000
2.264,101000
2.272,101000
2.272,101000
2.28,101000
2.28,101000
2.288,101000
2.288,101000
2.296,101000
2.296,101000
2.304,101000
2.304,101000
2.312,101000
2.312,101000
2.32,101000
2.32,101000
2.328,101000
2.328,101000
2.336,101000
2.336,101000
2.344,101000
2.344,101000
2.352,101000
2.352,101000
2.36,101000
2.36,101000
2.368,101000
2.368,101000
2.376,101000
2.376,101000
2.384,101000
2.384,101000
2.392,101000
2.392,101000
2.4,101000
2.4,101000
2.408,101000
2.408,101000
2.416,101000
2.416,101000
2.424,101000
2.424,101000
2.432,101000
2.432,101000
2.44,101000
2.44,101000
2.448,101000
2.448,101000
2.456,101000
2.456,101000
2.464,101000
2.464,101000
2.472,101000
2.472,101000
2.48,101000
2.48,101000
2.488,101000
2.488,101000
2.496,101000
2.496,101000
2.504,101000
2.504,101000
2.512,101000
2.512,101000
2.52,101000
2.52,101000
2.528,101000
2.528,101000
2.536,101000
2.536,101000
2.544,101000
2.544,101000
2.552,101000
2.552,101000
2.56,101000
2.56,101000
2.568,101000
2.568,101000
2.576,101000
2.576,101000
2.584,101000
2.584,101000
2.592,101000
2.592,101000
2.6,101000
2.6,101000
2.608,101000
2.608,101000
2.616,101000
2.616,101000
2.624,101000
2.624,101000
2.632,101000
2.632,101000
2.64,101000
2.64,101000
2.648,101000
2.648,101000
2.656,101000
2.656,101000
2.664,101000
2.664,101000
2.672,101000
2.672,101000
2.68,101000
2.68,101000
2.688,102000
2.688,102000
2.696,102000
2.696,102000
2.704,102000
2.704,102000
2.712,102000
2.712,102000
2.72,102000
2.72,102000
2.728,102000
2.728,102000
2.736,102000
2.736,102000
2.744,102000
2.744,102000
2.752,102000
2.752,102000
2.76,102000
2.76,102000
2.768,102000
2.768,102000
2.776,102000
2.776,102000
2.784,102000
2.784,102000
2.792,102000
2.792,102000
2.8,102000
2.8,102000
2.808,102000
2.808,102000
2.816,102000
2.816,102000
2.824,102000
2.824,102000
2.832,102000
2.832,102000
2.84,102000
2.84,102000
2.848,102000
2.848,102000
2.856,102000
2.856,102000
2.864,102000
2.864,102000
2.872,102000
2.872,102000
2.88,102000
2.88,102000
2.888,102000
2.888,102000
2.896,102000
2.896,102000
2.904,102000
2.904,102000
2.912,102000
2.912,102000
2.92,102000
2.92,102000
2.928,102000
2.928,102000
2.936,102000
2.936,102000
2.944,102000
2.944,102000
2.952,102000
2.952,102000
2.96,102000
2.96,102000
2.968,102000
2.968,102000
2.976,102000
2.976,102000
2.984,102000
2.984,102000
2.992,102000
2.992,102000
3.0,102000
3.0,102000
3.008,102000
3.008,102000
3.016,102000
3.016,102000
3.024,102000
3.024,102000
3.032,102000
3.032,102000
3.04,102000
3.04,102000
3.048,102000
3.048,102000
3.056,102000
3.056,102000
3.064,102000
3.064,102000
3.072,102000
3.072,102000
3.08,102000
3.08,102000
3.088,102000
3.088,102000
3.096,102000
3.096,102000
3.104,102000
3.104,102000
3.112,102000
3.112,102000
3.12,102000
3.12,102000
3.128,102000
3.128,102000
3.136,102000
3.136,102000
3.144,102000
3.144,102000
3.152,102000
3.152,102000
3.16,102000
3.16,102000
3.168,102000
3.168,102000
3.176,102000
3.176,102000
3.184,102000
3.184,102000
3.192,102000
3.192,102000
3.2,102000
3.2,102000
3.208,102000
3.208,102000
3.216,102000
3.216,102000
3.224,102000
3.224,102000
3.232,102000
3.232,102000
3.24,102000
3.24,102000
3.248,102000
3.248,102000
3.256,102000
3.256,102000
3.264,102000
3.264,102000
3.272,102000
3.272,102000
3.28,102000
3.28,102000
3.288,102000
3.288,102000
3.296,102000
3.296,102000
3.304,102000
3.304,102000
3.312,102000
3.312,102000
3.32,102000
3.32,102000
3.328,102000
3.328,102000
3.336,102000
3.336,102000
3.344,102000
3.344,102000
3.352,102000
3.352,102000
3.36,102000
3.36,102000
3.368,102000
3.368,102000
3.376,102000
3.376,102000
3.384,102000
3.384,102000
3.392,102000
3.392,102000
3.4,102000
3.4,102000
3.408,102000
3.408,102000
3.416,102000
3.416,102000
3.424,102000
3.424,102000
3.432,102000
3.432,102000
3.44,102000
3.44,102000
3.448,102000
3.448,102000
3.456,102000
3.456,102000
3.464,102000
3.464,102000
3.472,102000
3.472,102000
3.48,102000
3.48,102000
3.488,102000
3.488,102000
3.496,102000
3.496,102000
3.504,102000
3.504,102000
3.512,102000
3.512,102000
3.52,102000
3.52,102000
3.528,102000
3.528,102000
3.536,102000
3.536,102000
3.544,102000
3.544,102000
3.552,102000
3.552,102000
3.56,102000
3.56,102000
3.568,102000
3.568,102000
3.576,103000
3.576,103000
3.584,103000
3.584,103000
3.592,103000
3.592,103000
3.6,103000
3.6,103000
3.608,103000
3.608,103000
3.616,103000
3.616,103000
3.624,103000
3.624,103000
3.632,103000
3.632,103000
3.64,103000
3.64,103000
3.648,103000
3.648,103000
3.656,103000
3.656,103000
3.664,103000
3.664,103000
3.672,103000
3.672,103000
3.68,103000
3.68,103000
3.688,103000
3.688,103000
3.696,103000
3.696,103000
3.704,103000
3.704,103000
3.712,103000
3.712,103000
3.72,103000
3.72,103000
3.728,103000
3.728,103000
3.736,103000
3.736,103000
3.744,103000
3.744,103000
3.752,103000
3.752,103000
3.76,103000
3.76,103000
3.768,103000
3.768,103000
3.776,103000
3.776,103000
3.784,103000
3.784,103000
3.792,103000
3.792,103000
3.8,103000
3.8,103000
3.808,103000
3.808,103000
3.816,103000
3.816,103000
3.824,103000
3.824,103000
3.832,103000
3.832,103000
3.84,103000
3.84,103000
3.848,103000
3.848,103000
3.856,103000
3.856,103000
3.864,103000
3.864,103000
3.872,103000
3.872,103000
3.88,103000
3.88,103000
3.888,103000
3.888,103000
3.896,103000
3.896,103000
3.904,103000
3.904,103000
3.912,103000
3.912,103000
3.92,103000
3.92,103000
3.928,103000
3.928,103000
3.936,103000
3.936,103000
3.944,103000
3.944,103000
3.952,103000
3.952,103000
3.96,103000
3.96,103000
3.968,103000
3.968,103000
3.976,103000
3.976,103000
3.984,103000
3.984,103000
3.992,103000
3.992,103000
4.0,103000
4.0,103000
4.008,103000
4.008,103000
4.016,103000
4.016,103000
4.024,103000
4.024,103000
4.032,103000
4.032,103000
4.04,103000
4.04,103000
4.048,103000
4.048,103000
4.056,103000
4.056,103000
4.064,103000
4.064,103000
4.072,103000
4.072,103000
4.08,103000
4.08,103000
4.088,103000
4.088,103000
4.096,103000
4.096,103000
4.104,103000
4.104,103000
4.112,103000
4.112,103000
4.12,103000
4.12,103000
4.128,103000
4.128,103000
4.136,103000
4.136,103000
4.144,103000
4.144,103000
4.152,103000
4.152,103000
4.16,103000
4.16,103000
4.168,103000
4.168,103000
4.176,103000
4.176,103000
4.184,103000
4.184,103000
4.192,103000
4.192,103000
4.2,103000
4.2,103000
4.208,103000
4.208,103000
4.216,103000
4.216,103000
4.224,103000
4.224,103000
4.232,103000
4.232,103000
4.24,103000
4.24,103000
4.248,103000
4.248,103000
4.256,103000
4.256,103000
4.264,103000
4.264,103000
4.272,103000
4.272,103000
